100-5,175.42,37.02,-149.09,-364.9,-1671.0,-1010.9,2.676,-0.963,-3.049,65
100-0,-44.24,71.08,-79.39,-605.0,-1018.7,404.8,1.838,1.227,-1.937,93
100-1,-174.03,77.26,126.99,516.6,-217.3,315.0,3.475,0.917,2.692,30
100-2,-178.54,40.59,-151.81,-83.0,-1086.9,262.0,3.664,-1.385,-0.934,37
100-3,-179.20,23.70,-162.11,35.3,-952.5,79.7,3.540,-1.078,-0.098,35
100-4,176.46,15.76,-163.68,62.5,-744.5,-50.5,2.755,-0.829,-0.718,38
100-5,162.46,-9.35,-164.06,179.2,-457.5,-412.6,1.873,-0.476,-0.433,65
100-0,-125.49,59.98,-141.70,-179.9,-162.7,63.9,3.126,-2.803,-1.056,93
100-1,-137.25,68.96,159.62,-23.3,-45.6,215.8,0.402,0.731,-0.777,33
100-2,-171.64,17.55,-147.11,116.5,-297.6,127.1,1.117,0.938,-0.522,39
100-3,-174.79,4.88,-160.59,41.9,-169.7,54.9,1.399,0.885,-0.791,36
100-4,-179.37,1.28,-163.37,-9.3,-51.7,20.6,1.853,0.855,-0.939,37
100-5,164.85,-16.53,-166.73,-33.7,81.7,44.5,1.561,0.879,-1.129,65
100-0,-118.12,63.49,-138.57,188.3,57.2,-139.9,1.720,-0.777,-0.451,93
100-1,-140.87,67.69,156.02,-8.4,-24.7,-183.4,1.256,0.126,-0.311,34
100-2,-170.87,19.39,-147.82,-58.6,368.8,-132.3,1.883,0.158,-0.453,39
100-3,-176.14,11.88,-161.09,-84.4,539.2,-51.8,1.990,-0.043,-0.687,35
100-4,177.29,13.13,-163.07,-168.8,708.1,73.1,2.139,0.101,-0.693,38
100-5,162.37,2.38,-163.03,-60.7,792.7,463.1,1.629,0.122,-0.719,65
100-0,-99.16,70.88,-124.66,89.7,307.0,-81.8,1.575,-0.196,-0.618,93
100-1,-129.76,76.90,167.15,131.1,925.8,-79.8,2.945,-0.629,1.271,34
100-2,-175.88,54.35,-151.64,23.2,1560.3,-266.8,3.193,-1.075,-0.835,39
100-3,-176.93,56.91,-161.50,121.5,1930.6,-118.5,3.600,-1.230,-1.319,36
100-4,167.20,64.49,-166.31,-92.7,1987.5,231.5,3.656,-0.513,-1.987,38
100-5,178.69,64.70,-148.09,464.5,1998.0,468.0,5.866,0.561,-0.978,65
100-0,-50.48,64.97,-77.51,127.0,754.6,111.2,1.442,-0.572,0.040,93
100-1,-9.83,55.17,-77.53,445.4,966.4,-96.9,0.832,0.974,-1.550,32
100-2,5.15,58.43,23.71,-71.0,1486.3,166.7,3.378,-1.453,0.202,39
100-3,-7.50,53.31,9.93,-96.0,1407.6,296.1,2.758,-1.189,-1.010,36
100-4,-4.54,49.73,20.25,89.2,1228.8,283.0,2.026,0.523,0.594,38
100-5,-3.69,57.06,33.17,-612.1,817.5,166.2,0.232,-2.774,-1.832,65
100-0,-25.51,40.99,-54.91,248.7,824.9,37.4,1.199,-0.121,-0.271,93
100-1,14.95,37.49,-59.99,255.9,304.3,-550.8,1.280,1.446,2.283,18
100-2,1.07,16.91,17.83,17.7,835.5,-34.0,1.345,-0.393,-0.055,38
100-3,-7.50,15.62,7.22,19.6,867.0,149.2,1.659,-0.751,0.365,37
100-4,-9.19,16.67,18.66,-93.7,774.0,93.8,1.414,-0.281,1.146,38
100-5,-19.99,32.42,24.07,-297.2,772.8,229.6,1.018,0.696,1.101,65
100-0,-18.08,5.88,-44.42,-73.9,1175.3,133.9,-0.009,-0.009,-1.043,93
100-1,32.71,19.63,-44.86,452.7,197.1,-413.8,0.260,-0.885,0.688,26
100-2,4.98,-5.67,16.85,188.5,511.5,60.8,0.961,-0.661,1.395,38
100-3,-4.48,-8.58,4.74,85.1,580.1,116.9,1.124,-0.286,1.050,36
100-4,-11.78,-6.57,19.90,-119.9,588.4,77.1,1.180,0.040,0.751,38
100-5,-27.63,11.51,27.54,-302.7,544.7,121.2,0.964,0.566,0.914,65
100-0,-15.29,-30.73,-39.89,274.9,759.0,219.9,-0.893,0.074,-0.347,93
100-1,51.37,8.60,-40.77,515.5,118.1,-259.7,0.344,0.511,0.658,22
100-2,11.53,-25.51,11.48,118.0,602.5,64.7,1.171,-0.481,0.412,37
100-3,-2.27,-29.04,1.76,14.6,587.5,118.1,1.234,-0.274,0.428,36
100-4,-18.00,-27.15,22.12,-160.4,586.6,109.7,1.135,0.103,0.450,39
100-5,-37.85,-5.03,34.44,-330.7,458.3,117.4,0.456,0.270,0.530,65
100-0,-4.72,-56.61,-43.33,91.3,588.0,108.1,-0.648,0.356,-0.181,93
100-1,68.93,-2.15,-38.21,494.6,-14.7,-308.7,0.025,0.110,-0.038,22
100-2,22.53,-44.06,1.57,170.6,476.7,59.2,0.632,-0.219,-0.050,37
100-3,3.07,-48.23,-3.76,59.8,476.6,99.5,0.886,-0.134,-0.078,36
100-4,-25.16,-46.06,26.39,-117.3,467.8,102.2,0.829,0.134,-0.242,38
100-5,-48.91,-18.66,41.12,-242.4,386.9,156.2,0.473,0.365,0.148,65
100-0,7.95,-77.47,-54.52,46.5,649.2,110.0,-0.620,-0.003,-0.798,93
100-1,84.33,-10.82,-31.52,374.3,-188.5,-218.8,-0.077,-0.705,-0.142,26
100-2,39.57,-55.60,-12.82,171.1,332.2,52.3,0.208,-0.451,-1.950,38
100-3,13.22,-60.72,-12.34,135.5,268.3,84.8,0.286,-0.303,-2.193,35
